iter	Logloss
0	0.6512061428
1	0.6131517339
2	0.5801111318
3	0.5492771112
4	0.5202323015
5	0.4939482414
6	0.4705414718
7	0.449631122
8	0.4315012722
9	0.4137223801
10	0.3986795421
11	0.3812555814
12	0.3684889994
13	0.3541379713
14	0.3439283626
15	0.3349500795
16	0.326393878
17	0.3196751476
18	0.311912565
19	0.3068243727
20	0.3006225155
21	0.2924779533
22	0.287185512
23	0.2817358023
24	0.2764902899
25	0.2729171997
26	0.2688033876
27	0.2654122382
28	0.2623815376
29	0.2593091892
30	0.2555301242
31	0.2527843356
32	0.2506575487
33	0.2487193865
34	0.2467517858
35	0.2439937353
36	0.2421367511
37	0.2401551352
38	0.2386932337
39	0.2368495109
40	0.2349031747
41	0.2330927128
42	0.2321453782
43	0.2310536035
44	0.2295383493
45	0.2287366151
46	0.2279595387
47	0.226840672
48	0.2262461692
49	0.2251841553
50	0.2238371142
51	0.2230604664
52	0.2225553427
53	0.2217868639
54	0.2211378321
55	0.2206388777
56	0.2199256685
57	0.2189512256
58	0.2184363723
59	0.2177899679
60	0.2172048757
61	0.216942759
62	0.2165978591
63	0.2161870958
64	0.2157841541
65	0.2150945107
66	0.2147536919
67	0.2140870587
68	0.2138334059
69	0.2132814135
70	0.2125567545
71	0.2119375993
72	0.2117697291
73	0.2113826453
74	0.2109380878
75	0.2106964619
76	0.2104683914
77	0.2103404577
78	0.2100992976
79	0.2096839296
80	0.2092917071
81	0.2088575111
82	0.2085297967
83	0.2082816875
84	0.207875852
85	0.207742515
86	0.2074914274
87	0.207181364
88	0.2069023679
89	0.2067393151
90	0.2063214193
91	0.2062140233
92	0.2061103943
93	0.2059623949
94	0.205741437
95	0.2056289662
96	0.2053542672
97	0.2051548257
98	0.205006949
99	0.2048809412
100	0.2047405645
101	0.2043590603
102	0.2042351011
103	0.2041475253
104	0.2039652188
105	0.2036602668
106	0.2035946899
107	0.2035170146
108	0.2034102928
109	0.203223808
110	0.203115816
111	0.2030507942
112	0.2028548245
113	0.2027247026
114	0.2025315827
115	0.2021835359
116	0.2019805333
117	0.201922405
118	0.2018717798
119	0.2017659722
120	0.2016444768
121	0.2015777741
122	0.2013038456
123	0.2012291466
124	0.2011822168
125	0.2011335878
126	0.2010860271
127	0.2009977327
128	0.2009271343
129	0.2008521049
130	0.2006510008
131	0.2005688441
132	0.2004682772
133	0.2004068235
134	0.2003117572
135	0.2002364675
136	0.2001570037
137	0.2000832643
138	0.2000478202
139	0.1999964796
140	0.1998419151
141	0.1997788318
142	0.1996636011
143	0.1996105291
144	0.199505776
145	0.1993915208
146	0.1993065528
147	0.1992444917
148	0.1991349108
149	0.1990533679
150	0.1990353748
151	0.1989955839
152	0.1989228922
153	0.1987237413
154	0.1985612296
155	0.19842738
156	0.198365888
157	0.1983202699
158	0.198232128
