iter	Passed	Remaining
0	59	59785
1	62	31401
2	66	22099
3	69	17367
4	72	14405
5	75	12427
6	77	10985
7	79	9912
8	82	9071
9	84	8401
10	87	7869
11	89	7402
12	92	7023
13	94	6667
14	96	6367
15	99	6117
16	102	5909
17	104	5711
18	107	5534
19	110	5390
20	112	5242
21	114	5100
22	117	4980
23	119	4864
24	121	4756
25	125	4689
26	127	4601
27	130	4515
28	132	4444
29	135	4380
30	137	4310
31	140	4253
32	143	4200
33	145	4141
34	149	4121
35	152	4074
36	154	4013
37	156	3968
38	159	3927
39	161	3883
40	163	3834
41	167	3821
42	169	3779
43	171	3736
44	174	3694
45	177	3672
46	179	3631
47	181	3594
48	183	3554
49	186	3546
50	189	3518
51	191	3496
52	194	3480
53	197	3457
54	199	3427
55	202	3411
56	204	3387
57	207	3369
58	210	3355
59	212	3330
60	214	3306
61	217	3290
62	220	3274
63	222	3253
64	224	3231
65	227	3213
66	229	3199
67	232	3186
68	235	3171
69	237	3154
70	240	3148
71	243	3135
72	245	3119
73	248	3104
74	251	3102
75	254	3089
76	256	3080
77	259	3066
78	261	3053
79	264	3045
80	267	3033
81	269	3018
82	272	3009
83	275	3000
84	279	3004
85	282	2998
86	284	2987
87	287	2974
88	289	2960
89	292	2954
90	296	2957
91	298	2949
92	301	2942
93	304	2935
94	307	2924
95	309	2915
96	312	2909
97	315	2908
98	318	2894
99	320	2884
100	323	2875
101	325	2868
102	328	2858
103	330	2848
104	332	2838
105	335	2831
106	338	2827
107	341	2819
108	344	2812
109	346	2802
110	348	2792
111	350	2782
112	353	2777
113	356	2769
114	358	2759
115	361	2751
116	363	2742
117	365	2734
118	369	2732
119	371	2725
120	374	2723
121	377	2715
122	379	2707
123	381	2698
124	384	2690
125	386	2682
126	389	2675
127	391	2667
128	394	2661
129	396	2655
130	399	2650
131	402	2643
132	404	2636
133	406	2628
134	409	2622
135	411	2613
136	413	2607
137	417	2605
138	419	2601
139	422	2596
140	425	2589
141	427	2583
142	430	2579
143	432	2572
144	435	2567
145	438	2562
146	440	2556
147	443	2551
148	445	2545
149	448	2540
150	451	2536
151	453	2530
152	456	2526
153	458	2520
154	461	2515
155	463	2509
156	466	2503
157	468	2499
158	471	2495
159	474	2490
160	477	2486
161	479	2481
162	482	2476
163	484	2471
164	487	2467
165	489	2461
166	492	2456
167	494	2451
168	497	2445
169	499	2440
170	503	2441
171	506	2437
172	509	2434
173	511	2429
174	514	2425
175	517	2421
176	519	2417
177	523	2417
178	526	2412
179	528	2409
180	531	2406
181	534	2401
182	536	2396
183	539	2392
184	542	2388
185	544	2382
186	547	2378
187	549	2373
188	551	2368
189	554	2364
190	557	2360
191	559	2354
192	562	2350
193	564	2345
194	567	2340
195	570	2338
196	572	2334
197	575	2329
198	577	2324
199	579	2319
200	582	2315
201	585	2311
202	587	2307
203	590	2303
204	592	2299
205	595	2296
206	598	2291
207	600	2286
208	603	2283
209	606	2279
210	608	2275
211	611	2271
212	614	2269
213	617	2266
214	619	2263
215	622	2260
216	626	2261
217	631	2264
218	634	2261
219	637	2258
220	639	2253
221	641	2248
222	644	2245
223	647	2242
224	650	2242
225	653	2238
226	655	2233
227	658	2229
228	660	2225
229	664	2223
230	667	2220
231	670	2218
232	672	2214
233	675	2211
234	678	2209
235	682	2207
236	684	2204
237	688	2202
238	691	2200
239	693	2195
240	695	2190
241	698	2188
242	701	2186
243	704	2183
244	708	2181
245	710	2178
246	713	2174
247	715	2169
248	718	2167
249	721	2163
250	724	2161
251	726	2157
252	729	2154
253	732	2152
254	735	2149
255	738	2146
256	740	2141
257	743	2138
258	746	2134
259	748	2131
260	751	2127
261	753	2123
262	756	2119
263	759	2117
264	762	2116
265	765	2113
266	768	2109
267	770	2105
268	773	2101
269	776	2098
270	778	2094
271	781	2090
272	783	2086
273	785	2082
274	788	2078
275	790	2073
276	793	2070
277	796	2068
278	799	2065
279	802	2063
280	805	2060
281	808	2057
282	811	2054
283	814	2053
284	817	2052
285	821	2050
286	824	2048
287	827	2046
288	830	2042
289	832	2039
290	835	2035
291	838	2031
292	840	2029
293	843	2024
294	845	2020
295	847	2016
296	850	2013
297	853	2009
298	855	2006
299	858	2003
300	861	1999
301	864	1997
302	866	1993
303	869	1989
304	871	1985
305	873	1982
306	876	1978
307	878	1974
308	881	1970
309	883	1966
310	886	1963
311	888	1959
312	891	1955
313	893	1952
314	897	1952
315	900	1949
316	902	1945
317	905	1941
318	907	1937
319	909	1933
320	912	1929
321	914	1926
322	917	1923
323	920	1919
324	923	1917
325	925	1913
326	928	1910
327	930	1906
328	933	1902
329	935	1899
330	937	1895
331	941	1893
332	944	1891
333	947	1889
334	949	1885
335	952	1881
336	955	1879
337	958	1876
338	960	1872
339	963	1870
340	966	1867
341	969	1864
342	971	1861
343	974	1857
344	977	1855
345	979	1852
346	982	1848
347	985	1846
348	987	1842
349	990	1839
350	993	1837
351	996	1834
352	998	1830
353	1001	1826
354	1003	1823
355	1006	1820
356	1008	1816
357	1011	1813
358	1013	1810
359	1016	1806
360	1018	1803
361	1021	1800
362	1025	1798
363	1029	1798
364	1031	1795
365	1034	1791
366	1037	1789
367	1040	1786
368	1042	1783
369	1045	1780
370	1048	1777
371	1051	1774
372	1054	1772
373	1057	1769
374	1060	1766
375	1062	1763
376	1065	1760
377	1068	1758
378	1071	1754
379	1074	1753
380	1076	1749
381	1079	1745
382	1082	1743
383	1084	1740
384	1087	1736
385	1089	1733
386	1092	1730
387	1094	1726
388	1097	1723
389	1100	1720
390	1103	1719
391	1106	1716
392	1109	1713
393	1112	1711
394	1115	1708
395	1120	1708
396	1123	1706
397	1126	1704
398	1129	1700
399	1132	1698
400	1135	1696
401	1137	1692
402	1139	1688
403	1142	1685
404	1146	1684
405	1149	1681
406	1152	1678
407	1154	1675
408	1156	1671
409	1159	1667
410	1161	1664
411	1163	1660
412	1167	1658
413	1169	1655
414	1172	1652
415	1174	1649
416	1177	1646
417	1180	1643
418	1182	1639
419	1184	1635
420	1187	1633
421	1189	1629
422	1192	1626
423	1195	1624
424	1198	1621
425	1201	1618
426	1203	1615
427	1206	1613
428	1210	1610
429	1213	1608
430	1215	1604
431	1218	1602
432	1221	1599
433	1223	1596
434	1226	1592
435	1228	1589
436	1231	1586
437	1234	1583
438	1237	1581
439	1240	1578
440	1242	1574
441	1244	1571
442	1247	1568
443	1250	1565
444	1253	1562
445	1256	1560
446	1258	1557
447	1261	1554
448	1264	1551
449	1266	1548
450	1269	1545
451	1272	1542
452	1275	1539
453	1278	1536
454	1280	1534
455	1283	1531
456	1285	1527
457	1288	1525
458	1291	1522
459	1294	1519
460	1296	1515
461	1299	1513
462	1302	1511
463	1305	1508
464	1308	1505
465	1311	1503
466	1315	1500
467	1318	1498
468	1320	1495
469	1323	1492
470	1326	1489
471	1329	1486
472	1332	1484
473	1335	1481
474	1337	1478
475	1340	1476
476	1343	1473
477	1346	1470
478	1348	1467
479	1352	1464
480	1354	1461
481	1357	1458
482	1360	1455
483	1363	1453
484	1365	1450
485	1368	1447
486	1370	1443
487	1372	1440
488	1375	1437
489	1378	1434
490	1380	1430
491	1382	1427
492	1385	1424
493	1387	1421
494	1390	1418
495	1392	1415
496	1395	1412
497	1397	1409
498	1400	1405
499	1402	1402
500	1405	1399
501	1407	1396
502	1409	1392
503	1412	1389
504	1414	1386
505	1417	1383
506	1419	1380
507	1423	1378
508	1425	1375
509	1428	1372
510	1430	1369
511	1433	1365
512	1435	1362
513	1438	1359
514	1440	1356
515	1443	1353
516	1445	1350
517	1448	1347
518	1450	1344
519	1452	1341
520	1455	1337
521	1457	1334
522	1460	1331
523	1462	1328
524	1465	1325
525	1467	1322
526	1470	1319
527	1472	1316
528	1474	1312
529	1476	1309
530	1479	1307
531	1482	1304
532	1485	1301
533	1487	1298
534	1490	1295
535	1494	1293
536	1498	1292
537	1501	1289
538	1506	1288
539	1511	1287
540	1514	1285
541	1517	1282
542	1521	1280
543	1524	1278
544	1528	1275
545	1531	1273
546	1534	1270
547	1537	1268
548	1540	1265
549	1543	1262
550	1546	1260
551	1550	1258
552	1553	1255
553	1556	1253
554	1559	1250
555	1562	1247
556	1565	1245
557	1568	1242
558	1571	1240
559	1575	1237
560	1579	1235
561	1583	1234
562	1587	1232
563	1591	1230
564	1598	1230
565	1602	1229
566	1607	1227
567	1610	1224
568	1615	1223
569	1622	1224
570	1626	1221
571	1629	1219
572	1633	1217
573	1636	1214
574	1641	1213
575	1645	1210
576	1649	1209
577	1652	1206
578	1657	1205
579	1661	1202
580	1664	1200
581	1667	1197
582	1670	1194
583	1673	1191
584	1676	1189
585	1679	1186
586	1681	1183
587	1684	1180
588	1687	1177
589	1690	1174
590	1693	1172
591	1696	1169
592	1699	1166
593	1702	1163
594	1705	1160
595	1707	1157
596	1710	1154
597	1714	1152
598	1716	1149
599	1719	1146
600	1721	1143
601	1724	1139
602	1726	1136
603	1729	1133
604	1731	1130
605	1734	1127
606	1737	1125
607	1740	1122
608	1743	1119
609	1745	1116
610	1748	1112
611	1752	1110
612	1755	1108
613	1757	1105
614	1760	1101
615	1762	1098
616	1765	1096
617	1768	1093
618	1771	1090
619	1774	1087
620	1776	1084
621	1779	1081
622	1783	1079
623	1786	1076
624	1789	1073
625	1791	1070
626	1795	1068
627	1798	1065
628	1803	1063
629	1805	1060
630	1809	1058
631	1811	1055
632	1814	1051
633	1816	1048
634	1818	1045
635	1821	1042
636	1824	1039
637	1827	1036
638	1830	1033
639	1832	1030
640	1835	1028
641	1838	1025
642	1842	1023
643	1845	1020
644	1847	1016
645	1850	1013
646	1853	1011
647	1856	1008
648	1859	1005
649	1862	1002
650	1864	999
651	1867	996
652	1870	993
653	1873	990
654	1875	988
655	1878	985
656	1881	982
657	1884	979
658	1887	976
659	1890	973
660	1893	971
661	1896	968
662	1898	965
663	1901	962
664	1903	958
665	1906	955
666	1908	952
667	1911	950
668	1914	947
669	1916	944
670	1919	941
671	1921	938
672	1924	934
673	1926	931
674	1929	928
675	1931	925
676	1933	922
677	1936	919
678	1938	916
679	1940	913
680	1943	910
681	1945	907
682	1948	904
683	1951	901
684	1954	898
685	1956	895
686	1958	892
687	1961	889
688	1963	886
689	1966	883
690	1969	880
691	1971	877
692	1974	874
693	1976	871
694	1979	868
695	1982	865
696	1984	862
697	1986	859
698	1989	856
699	1991	853
700	1994	850
701	1996	847
702	1999	844
703	2001	841
704	2004	838
705	2006	835
706	2009	832
707	2011	829
708	2013	826
709	2016	823
710	2018	820
711	2020	817
712	2023	814
713	2026	811
714	2029	808
715	2031	805
716	2034	802
717	2037	800
718	2039	796
719	2041	793
720	2044	790
721	2046	788
722	2049	785
723	2051	782
724	2054	779
725	2056	776
726	2059	773
727	2061	770
728	2064	767
729	2066	764
730	2069	761
731	2071	758
732	2074	755
733	2077	752
734	2079	749
735	2082	747
736	2085	744
737	2088	741
738	2091	738
739	2093	735
740	2096	732
741	2099	729
742	2101	726
